#"Camera Name","NVR","Location","IP Address","Recording","Has Video","Total Video","Missing Video"
"Скл3 подмез_02_IM10LW10-1-ADGK600","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.82","Yes","Yes","19 days, 23:03","No"
"Скл3 подмез_03_IM10LW10-1-ADGK622","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.80","Yes","Yes","19 days, 23:03","No"
"Скл3 подмез_04_IM10LW10-1-ADGK508","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.81","Yes","Yes","42 days, 14:56","No"
"Скл3 подмез_05_IM10LW10-1-ADGK515","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.85","Yes","Yes","42 days, 14:54","No"
"Скл3 подмез_06_IM10LW10-1-ADGK483","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.84","Yes","Yes","42 days, 14:56","No"
"Скл3 подмез_07_IM10LW10-1-ADGK510","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.63.230","Yes","Yes","42 days, 14:53","No"
"Скл3 подмез_08_IM10LW10-1-ADGK503","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.87","Yes","Yes","19 days, 23:06","No"
"Скл3 подмез_09_IM10LW10-1-ADGK448","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.89","Yes","Yes","42 days, 14:51","No"
"Скл3 подмез_10_IM10LW10-1-ADGK504","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.90","Yes","Yes","42 days, 14:53","No"
"Скл3 проезд ворота в Скл4_IM10DN10-1E-ADCWJG5","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.240","Yes","Yes","None","No"
"Скл3 проезд к бл2_IM10LW10-1-ADGK643","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.200","Yes","Yes","19 days, 23:06","No"
"Скл3 проезд к бл4_IM10LW10-1-ADBKHP3","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.28","Yes","Yes","19 days, 23:07","No"
"Скл3 проезд центр к бл2_IM10LW10-1-ADGCC45","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.188","Yes","Yes","19 days, 23:05","No"
"Скл3 проезд центр к бл4_IM10LW10-1-ADGK505","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.187","Yes","Yes","19 days, 23:05","No"
"Скл3 ст1 (3014_3015)_IM10DN10-1E-ADCVY13","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.63.216","No","No","None","No"
"Скл3 ст1 (3014-3015)_IME229-M0641719041920168","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.162","Yes","Yes","42 days, 14:56","No"
"Скл3 ст2 (3021_3022)_IME229-M0641719041920190","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.163","Yes","Yes","42 days, 14:56","No"
"Скл3 ст3 (3028_3029)_IME229-M0641719041920584","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.165","Yes","Yes","42 days, 14:56","00:00:54.764"
"Скл3 ст4 (3035_3036)_IM10DN10-1E-ADBJFN6","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.24","Yes","Yes","42 days, 14:52","No"
"Скл3 ст5 (3042_3044)_IM10DN10-1E-ADBJFQ5","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.8","Yes","Yes","42 days, 14:52","No"
"Скл3 ст6 (3050)_IM10DN10-1E-ADCVXZ3","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.181","Yes","Yes","42 days, 14:54","No"
"Скл3_01-4_IM10DN10-1V-ADDX452","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.151","Yes","Yes","19 days, 23:06","No"
"Скл3_02-1_IM10LW10-1-ADGK580","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.63.210","Yes","Yes","None","No"
"Скл3_02-2_IM10LW10-1-ADGCCD5","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.69","Yes","Yes","19 days, 23:08","No"
"Скл3_02-3_IM10LW10-1-ADGK613","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.8","No","No","None","No"
"Скл3_02-3_IM10LW10-1-ADGK629","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.33","Yes","Yes","None","No"
"Скл3_02-4_IM10DN10-1V-ADDRGR3","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.89","Yes","Yes","19 days, 23:06","No"
"Скл3_03-1_IM10LW10-1-ADBV680","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.221","Yes","Yes","None","No"
"Скл3_03-1_IM10LW10-1-ADGK639","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.201","No","No","None","No"
"Скл3_03-2_IM10DN10-1E-ADBJFK1","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.85","Yes","Yes","19 days, 23:08","No"
"Скл3_03-3_IM10DN10-1E-ADD0528","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.52","Yes","Yes","42 days, 14:56","No"
"Скл3_03-4_IM10DN10-1V-ADDRJB5","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.41","Yes","Yes","19 days, 23:05","No"
"Скл3_04-1_IM10LW10-1-ADGCC75","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.202","Yes","Yes","19 days, 23:06","No"
"Скл3_04-2_IM10DN10-1E-ADCVY34","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.158","Yes","Yes","19 days, 23:05","No"
"Скл3_04-3_IM10DN10-1E-ADCVXX2","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.43","Yes","Yes","19 days, 23:07","No"
"Скл3_04-4_IM10DN10-1V-ADDX489","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.44","Yes","Yes","19 days, 23:06","No"
"Скл3_05-1_IM10LW10-1-ADGCCC2","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.203","Yes","Yes","19 days, 23:06","No"
"Скл3_05-2_IM10DN10-1E-ADCVY00","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.149","Yes","Yes","19 days, 23:06","No"
"Скл3_05-3_IM10DN10-1E-ADCVXY2","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.45","Yes","Yes","42 days, 14:49","No"
"Скл3_06-1_IM10LW10-1-ADGK502","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.204","No","Yes","None","No"
"Скл3_06-2_IM10DN10-1E-ADCWJF6","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.82","Yes","Yes","42 days, 14:56","No"
"Скл3_06-3_IM10DN10-1E-ADCVXZ5","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.107","Yes","Yes","19 days, 23:07","No"
"Скл3_06-4_IM10LW10-1-ADGK542","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.231","Yes","Yes","19 days, 23:06","No"
"Скл3_07-1_IM10DN10-1E-ADCWJG7","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.130","Yes","Yes","19 days, 23:06","No"
"Скл3_07-2_IM10DN10-1E-ADCWJJ0","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.81","Yes","Yes","42 days, 14:53","No"
"Скл3_07-3_IM10DN10-1E-ADCVY10","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.49","No","No","None","No"
"Скл3_07-3_IM10LW10-1-ADGK577","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.35","Yes","Yes","None","No"
"Скл3_07-4_IM10DN10-1E-ADBJFP5","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.131","Yes","Yes","42 days, 14:54","No"
"Скл3_08-1_IM10LW10-1-ADGCCG5","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.151","Yes","Yes","42 days, 14:53","No"
"Скл3_08-2_IM10DN10-1E-ADBJFH5","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.80","Yes","Yes","19 days, 23:05","No"
"Скл3_08-3_IM10DN10-1E-ADCVXV8","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.81","Yes","Yes","42 days, 14:53","00:00:57.151"
"Скл3_08-4_IM10LW10-1-ADGK526","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.229","Yes","Yes","19 days, 23:03","No"
"Скл3_09-1_IM10LW10-1-ADGK663","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.206","Yes","Yes","42 days, 14:52","No"
"Скл3_09-2_IM10DN10-1E-ADCVXW2","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.164","Yes","Yes","19 days, 23:06","No"
"Скл3_09-3_IM10DN10-1E-ADCVXX0","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.50","Yes","Yes","19 days, 23:07","No"
"Скл3_09-4_IM10LW10-1-ADGCC23","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.228","Yes","Yes","19 days, 23:05","No"
"Скл3_10-1_IM10LW10-1-ADGCC93","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.207","Yes","Yes","19 days, 23:06","No"
"Скл3_10-2_IM10DN10-1E-ADCVY08","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.148","Yes","Yes","19 days, 23:07","No"
"Скл3_10-3_IM10DN10-1E-ADCVY22","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.48","Yes","Yes","42 days, 14:54","No"
"Скл3_10-4_IM10LW10-1-ADGCCE3","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.227","Yes","Yes","19 days, 23:04","No"
"Скл3_11-1_IM10LW10-1-ADGCCD9","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.150","Yes","Yes","19 days, 23:05","No"
"Скл3_11-2_IM10DN10-1E-ADD0529","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.163","Yes","Yes","19 days, 22:57","00:08:03.342"
"Скл3_11-3_IM10DN10-1E-ADCVY28","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.79","Yes","Yes","19 days, 23:08","No"
"Скл3_11-4_IM10LW10-1-ADGCCF0","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.224","Yes","Yes","19 days, 23:03","No"
"Скл3_12-1_IM10LW10-1-ADBZM37","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.63.46","Yes","Yes","None","No"
"Скл3_12-1_IM10LW10-1-ADGCBW7","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.209","No","No","None","No"
"Скл3_12-2_IM10DN10-1E-ADCWJH9","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.75","Yes","Yes","19 days, 23:06","No"
"Скл3_12-3_IM10DN10-1E-ADCVY39","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.47","Yes","Yes","19 days, 23:08","No"
"Скл3_12-4_IM10LW10-1-ADGCC43","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.223","Yes","Yes","18 days, 07:56","No"
"Скл3_13-1_IM10LW10-1-ADGK536","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.210","Yes","Yes","19 days, 23:08","No"
"Скл3_13-2_IM10DN10-1E-ADCVXX6","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.159","No","No","None","No"
"Скл3_13-2_IM10LW10-1-ADBKHQ3","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.63.45","Yes","Yes","None","No"
"Скл3_13-3_IM10DN10-1E-ADCVY07","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.39","Yes","Yes","19 days, 23:05","No"
"Скл3_13-4_IM10LW10-1-ADGCCA2","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.222","Yes","Yes","19 days, 23:07","No"
"Скл3_14-1_IM10LW10-1-ADGK489","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.211","Yes","Yes","42 days, 14:52","No"
"Скл3_14-2_IM10DN10-1E-ADCVY29","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.160","Yes","Yes","18 days, 00:20","No"
"Скл3_14-3_IM10DN10-1E-ADCWJE5","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.78","Yes","Yes","19 days, 23:06","No"
"Скл3_14-4_IM10LW10-1-ADGCCC0","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.221","Yes","Yes","19 days, 23:04","No"
"Скл3_15-1_IM10LW10-1-ADGK494","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.212","Yes","Yes","10 days, 17:40","No"
"Скл3_15-2_IM10DN10-1E-ADCVY24","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.162","Yes","Yes","19 days, 23:08","No"
"Скл3_15-3_IM10DN10-1E-ADCWJK7","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.51","Yes","Yes","18 days, 04:18","No"
"Скл3_15-4_IM10LW10-1-ADGK512","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.220","Yes","Yes","19 days, 23:07","No"
"Скл3_16-1_IM10LW10-1-ADGK453","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.213","Yes","Yes","19 days, 23:06","No"
"Скл3_16-2_IM10DN10-1E-ADCWJK6","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.76","Yes","Yes","19 days, 05:26","No"
"Скл3_16-3_IM10DN10-1E-ADCVXV9","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.125","Yes","Yes","17 days, 13:48","No"
"Скл3_17-1_IM10LW10-1-ADGK491","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.214","Yes","Yes","19 days, 23:07","No"
"Скл3_17-2_IM10DN10-1E-ADCWJR8","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.71","Yes","Yes","42 days, 14:52","No"
"Скл3_17-3_IM10DN10-1E-ADBJFK6","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.117","Yes","Yes","19 days, 23:06","No"
"Скл3_17-4_IM10LW10-1-ADGCC68","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.218","Yes","Yes","42 days, 14:55","No"
"Скл3_18-1_IM10LW10-1-ADGCCA4","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.215","Yes","Yes","42 days, 14:53","No"
"Скл3_18-2_IM10DN10-1E-ADCVXY7","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.161","Yes","Yes","19 days, 22:58","00:08:09.342"
"Скл3_18-3_IM10DN10-1E-ADCWJJ5","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.85","No","No","None","No"
"Скл3_18-3_IM10LW10-1-ADGCCK9","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.45","Yes","Yes","None","No"
"Скл3_18-4_IM10LW10-1-ADGK486","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.217","Yes","Yes","19 days, 23:03","No"
"Скл3_МР-01зон.уп_к1_IMP1110-1-T41405586","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.82","No","No","None","No"
"Скл3_МР-01зон.уп_к2_IM10LW10-1-ADBZLX7","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.63.41","No","No","None","No"
"Скл3_МР-01рм_IM10LW10-1-ADBKHN8","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.197","No","No","24 days, 18:57","No"
"Скл3_МР-02зон.уп_к1_IMP519-1-T32101936","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.233","No","No","None","No"
"Скл3_МР-05рм_IM10LW10-1-ADBV747","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.214","No","Yes","38 days, 19:42","No"
"Скл3_МР-06рм_IM10LW10-1-ADGK624","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.49","Yes","Yes","19 days, 23:07","No"
"Скл3_МР-07рм_IM10LW10-1-ADBV777","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.225","Yes","Yes","42 days, 14:54","No"
"Скл3_МР-08рм_IM10LW10-1-ADGK561","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.61","Yes","Yes","42 days, 14:57","No"
"Скл3_МР-09рм_IM10LW10-1-ADGK650","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.25","Yes","Yes","42 days, 14:51","No"
"Скл3_МР-10рм_IM10LW10-1-ADBV690","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.212","Yes","Yes","42 days, 14:53","No"
"Скл3_МР-11рм_IM10LW10-1-ADGCCF2","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.62","Yes","Yes","19 days, 23:07","No"
"Скл3_МР-12рм_IM10LW10-1-ADBKHY6","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.219","Yes","Yes","42 days, 14:52","No"
"Скл3_МР-на рм отС2_IM10LW10-1-ADBV703","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.229","No","Yes","12 days, 04:20","00:53:20.115"
"Скл3_МР-на рм отС2_IMP121-1IS-T71202929","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.63.99","Yes","Yes","None","No"
"Скл3_МР-на рм отС4_IM10LW10-1-ADGK714","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.37","Yes","Yes","42 days, 14:51","No"
"Скл3_р01_IME3122-ADHCE39","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.137","Yes","Yes","19 days, 23:07","No"
"Скл3_р02_IME3122-ADHCE44","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.138","Yes","Yes","19 days, 23:07","No"
"Скл3_р03_IME3122-ADGA597","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.63.181","Yes","Yes","19 days, 23:06","No"
"Скл3_р04_IME3122-ADHCE38","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.227","Yes","Yes","19 days, 23:08","No"
"Скл3_р05_IME3122-ADHCE89","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.218","Yes","Yes","19 days, 23:07","No"
"Скл3_р06_IME3122-ADEXQF6","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.0","Yes","Yes","42 days, 14:56","No"
"Скл3_р07_IME3122-ADHCE54","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.217","Yes","Yes","19 days, 23:08","No"
"Скл3_р08_IME3122-ADHCE31","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.213","Yes","Yes","19 days, 23:06","No"
"Скл3_р09_IME3122-ADHCE72","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.204","Yes","Yes","19 days, 23:07","No"
"Скл3_р10_IME3122-ADHCE97","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.214","Yes","Yes","19 days, 23:07","No"
"Скл3_р11_IME3122-ADGXWW9","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.210","Yes","Yes","19 days, 23:06","No"
"Скл3_р12_IME3122-ADHCE22","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.220","Yes","Yes","19 days, 23:06","No"
"Скл3_р13_IME3122-ADHCE59","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.216","Yes","Yes","19 days, 23:07","No"
"Скл3_р14_IME3122-ADGXWY7","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.63.206","Yes","Yes","19 days, 23:07","No"
"Скл3_р15_IME3122-ADGA605","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.228","Yes","Yes","19 days, 23:06","No"
"Скл3_р16_IME3122-ADGA640","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.208","Yes","Yes","19 days, 23:07","No"
"Скл3_р17_IME3122-ADHCE93","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.203","Yes","Yes","19 days, 23:07","No"
"Скл3_р18_IME3122-ADGA621","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.226","Yes","Yes","19 days, 23:08","No"
"Скл4 (тыл центр) на Скл3_IM10LW10-1-ADGCC53","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 4","172.16.61.197","Yes","Yes","None","No"
"Скл4 (тыл центр) от Скл3_IM10LW10-1-ADGCCB3","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 4","172.16.61.196","Yes","Yes","None","No"
"Скл4 (тыл) на Скл3_IM10LW10-1-ADGCCH2","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 4","172.16.63.27","Yes","Yes","None","No"
"Скл4 (тыл) от Скл3_IM10LW10-1-ADGCCA6","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 4","172.16.61.200","Yes","Yes","None","No"
"Скл4 (тыл) от Скл3_IM10LW10-1-ADGK529","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 4","172.16.61.195","No","No","None","No"
"Скл4 аккумуляторная лево_IM10LW10-1-ADGK539","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 4","172.16.63.211","Yes","Yes","None","No"
"Скл4 аккумуляторная право_IM10LW10-1-ADGCCJ2","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 4","172.16.60.91","Yes","Yes","42 days, 14:52","No"
"Скл4 лестница на мезонин у АБК 3_IM10LW10-1-ADGK477","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 4","172.16.62.94","Yes","Yes","None","No"
"Скл4 лестница у Скл3_IM10LW10-1-ADGK645","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 4","172.16.62.201","Yes","Yes","10 days, 17:39","No"
"Скл4 подмез на ворота 44-45_IMP519-1-T32403509","OCS_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 4","172.16.60.83","Yes","Yes","None","No"
"Скл4 подмез столбы от АБК3_IME3122-AEDUWL0","OCS_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 4","172.16.61.73","Yes","Yes","None","No"
"Скл4 подмез столбы от Скл3_IME3122-ADGA613","OCS_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 4","172.16.60.255","Yes","Yes","None","No"
